SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetOther	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc	
Cao ThiÓm hoµn		259		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\gaoshan-wan.lua	adddefense_v																																									"Néi 5 phót, nÐ tr¸ch t¨ng 500 ®iÓm."	
Cao Trung hoµn		260		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\gaozhong-wan.lua	attackratingenhance_v																																									"Néi 5 phót, nÐ tr¸ch t¨ng 500 ®iÓm."	
Phi Tèc hoµn		261		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\feisu-wan.lua	attackspeed_v																																									"Néi 5 phót, tèc ®é c«ng kÝch t¨ng 50 ®iÓm."	
B¨ng Phßng hoµn		262		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\bingfang-wan.lua	coldres_p																																									"Néi 5 phót, phßng b¨ng t¨ng 50%."	
L«i Phßng hoµn		263		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\leifang-wan.lua	lightingres_p																																									"Néi 5 phót, phßng L«i t¨ng 50%."	
Háa Phßng hoµn		264		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\huofang-wan.lua	fireres_p																																									"Néi 5 phót, phßng háa t¨ng 50%."	
§éc Phßng hoµn		265		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	0	2	0	0	0	0	0	0	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\dufang-wan.lua	poisonres_p																																									"Néi 5 phót, phßng ®éc t¨ng 50%."	
NPC Phong QuyÓn Tµn TuyÕt		266		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_11.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k007.wav	0	0	0	2	0	360	15	2	1	2	1	7	-1	4	1	11	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	1	0	0	0	0	0	0				0	0	0	-1	1	\script\skill\chuiyang\·ç¾í²ÐÑ©.lua	colddamage_v		skill_cost_v																																							"trung cÊp chiªu thøc, B¨ng s¸t rÊt hiÖu qu¶."	
Tam Hoµn Thao NguyÖt	C«ng kÝch ngo¹i c«ng  	267	901	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_32.spr		\sound\skill\sound_k003.wav	0	0	0	0	0	1	90	5	2	6	5	1	110	-1	3	1	10	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	0	1	20	0	0		0					0	0	0	4	1	\script\skill\wudang.lua	physicsenhance_p	sanhuan_taoyue	attackrating_p	sanhuan_taoyue		sanhuan_taoyue	deadlystrike_p	sanhuan_taoyue	stun_p	sanhuan_taoyue	lightingdamage_v	sanhuan_taoyue	addskilldamage1	sanhuan_taoyue	missle_speed_v	sanhuan_taoyue	skill_attackradius	sanhuan_taoyue	skill_cost_v	sanhuan_taoyue	missle_lifetime_v	sanhuan_taoyue	seriesdamage_p	sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		"Th¸i Cùc KiÕm ph¸p cao cÊp, phãng 3 kiÕm tiªu diÖt ®èi ph­¬ng."	
Tam Hoµn Thao NguyÖt 		268		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_33.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	110	-1	1	1	9	0	1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	20	0	0		0					0	0	0	4	1	\script\skill\wudang.lua	physicsenhance_p	sanhuan_taoyue	attackrating_p	sanhuan_taoyue		sanhuan_taoyue	deadlystrike_p	sanhuan_taoyue	stun_p	sanhuan_taoyue	lightingdamage_v	sanhuan_taoyue	addskilldamage2	sanhuan_taoyue	missle_speed_v	sanhuan_taoyue	skill_attackradius	sanhuan_taoyue	skill_cost_v	sanhuan_taoyue	missle_lifetime_v	sanhuan_taoyue	seriesdamage_p	sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		sanhuan_taoyue		C«ng kÝch vËt lý 	
B¨ng T©m Tr¸i ¶nh	chñ ®éng håi phôc thuéc tÝnh	269	600	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_23.spr	\spr\skill\´äÑÌ\mag_cy_11_²¹ÑªÊõ.spr		\sound\skill\sound_k006.wav	0	0	0	2	0	0	0	0	0	2	6	111	-1	1	1	11	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua	lifereplenish_v	bingxin_qianying	skill_cost_v	bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		bingxin_qianying		"S¬ cÊp trÞ  liÖu, tù m×nh håi phôc Sinh lùc."	
§¹p TuyÕt V« Ng©n 	Chñ ®éng hç trî chiÕn ®Êu	270		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_33.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			33	3	0	2	0	0	0	0	0	2	6	112	-1	1	1	11	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\cuiyan.lua		taxue_wuhen	skill_cost_v	taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		taxue_wuhen		"Khinh c«ng T©m ph¸p, t¨ng tèc ®é di chuyÓn."	
Long Tr¶o Hæ Tr¶o	C«ng kÝch ngo¹i c«ng  	271	202	1	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		\sound\skill\sound_k003.wav	0	0	0	0	0	1	90	2	1	5	1	12	272	-1	2	0	10	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-1	1	60	0	10		0					0	0	0	0	1	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	stun_p	longzhao_huzhua	deadlystrike_p	longzhao_huzhua	addskilldamage1	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua	missle_lifetime_v	longzhao_huzhua	seriesdamage_p	longzhao_huzhua	addskilldamage2	longzhao_huzhua	colddamage_v	longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		"Chiªu thøc cao cÊp, hiÖu qu¶ s¸t th­¬ng rÊt lín."	
Long Tr¶o Hæ Tr¶o 		272		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_sl_31.spr		0	0	0	0	0	0	0	75	0	0	0	0	1	113	-1	1	1	9	0	1	5	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	60	0	0		0					0	0	0	0	0	\script\skill\shaolin.lua	physicsenhance_p	longzhao_huzhua	ignoredefense_p	longzhao_huzhua	skill_cost_v	longzhao_huzhua	stun_p	longzhao_huzhua	deadlystrike_p	longzhao_huzhua	addskilldamage3	longzhao_huzhua	missle_speed_v	longzhao_huzhua	skill_attackradius	longzhao_huzhua	skill_cost_v	longzhao_huzhua	missle_lifetime_v	longzhao_huzhua	seriesdamage_p	longzhao_huzhua	colddamage_v	longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		longzhao_huzhua		C«ng kÝch vËt lý 	
Nh­ Lai Thiªn DiÖp 	Chñ ®éng hç trî chiÕn ®Êu	273	9999	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tw_33.spr	\spr\skill\²¹³ä\born01.spr			53	3	0	2	1	0	0	0	0	1	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\shaolin.lua	addphysicsdamage_p	rulai_qianye	lifemax_p	rulai_qianye	addcolddamage_v	rulai_qianye	deadlystrikeenhance_p	rulai_qianye	attackspeed_v	rulai_qianye	skill_cost_v	rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		rulai_qianye		"Cao cÊp T©m ph¸p, t¨ng n¨ng lùc chiÕn ®Êu toµn diÖn."	
Gi¸ng Long Ch­ëng 	hç trî chiÕn ®Êu- bÞ ®éng	274	704	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_32.spr				0	0	0	3	0	0	0	0	0	4	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	lifemax_p	xianglong_zhang	manamax_p	xianglong_zhang	addfiremagic_v	xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		xianglong_zhang		"TrÊn bang Ch­ëng ph¸p, ChuyÓn hãa Sinh lùc thµnh néi lùc."	
S­¬ng Ng¹o C«n L«n 	Hç trî bÞ ®éng	275	9999	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_02.spr				0	0	0	3	0	0	0	0	0	5	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	attackspeed_v	shuangao_kunlun	deadlystrikeenhance_p	shuangao_kunlun	castspeed_v	shuangao_kunlun	addlightingmagic_v	shuangao_kunlun	addlightingdamage_v	shuangao_kunlun	lifemax_p	shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		shuangao_kunlun		"Vâ c«ng trÊn ph¸i, t¨ng hiÖu qu¶ chiÕn ®Êu toµn diÖn."	
TuÕ NguyÖt V« T×nh 	Hç trî phßng ngù - chñ ®éng	276		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_kl_43.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			8	3	0	2	0	480	0	0	0	3	6	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\kunlun.lua	slowmissle_b		skill_cost_v																																							"S¬ cÊp phï chó, lµm gi¶m tèc ®é di chuyÓn cña ®èi ph­¬ng."	
Ho¹t BÊt L­u Thñ 	Chñ ®éng hç trî chiÕn ®Êu	277	700	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_33.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			57	3	0	2	0	0	0	0	0	4	6	114	-1	1	1	11	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	fastwalkrun_p	huabu_liushou	skill_cost_v	huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		"C¸i Bang tuyÖt kü, tù t¨ng tèc ®é di chuyÓn"	
Phong V©n Gi¸ng 	Chñ ®éng hç trî c«ng kÝch	278	12	1	\spr\Ui\¼¼ÄÜÍ¼±ê\Çá¹¦.spr				0	0	0	1	1	400	5	0	0	1	9	279	-1	1	0	13	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	1	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang\fengyun-jiang.lua	skill_cost_v		addphysicsdamage_p																																							T¨ng tèc ®é di chuyÓn vµ xuÊt chiªu.	
Phong V©n Gi¸ng 		279	12	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			25	2	0	2	0	0	0	0	0	4	7	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\tianwang\fengyun-jiang.lua	addphysicsdamage_p																																									"Thiªn NhÉn  Kú thuËt, t¨ng hiÖu qu¶ Ho¶ s¸t."	
Ba La T©m Kinh	Vßng trßn  hç trî phßng ngù 	280		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr				39	2	1	2	0	180	0	0	0	2	7	281	-1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\emei.lua	stun_p		coldenhance_p																																							"Nga Mi §éc M«n T©m ph¸p, cã thÓ phôc håi mét Ýt ®iÓm kinh nghiÖm ©m."	
Ba La T©m Kinh 		281		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr		0	0	55	2	0	2	0	180	0	0	0	2	3	92	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\emei.lua	fasthitrecover_v	qingyin_fanchang	fatallystrikeres_p	qingyin_fanchang	freezetimereduce_p	qingyin_fanchang	poisontimereduce_p	qingyin_fanchang	stuntimereduce_p	qingyin_fanchang																																	
Thanh ¢m Ph¹n X­íng	Vßng trßn  håi phôc thuéc tÝnh	282	503	2	\spr\Ui\skill\ÇåÒôèó¸è.spr				55	2	1	2	0	180	0	0	0	2	7	281	-1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\emei.lua	fasthitrecover_v	qingyin_fanchang	fatallystrikeres_p	qingyin_fanchang	freezetimereduce_p	qingyin_fanchang	poisontimereduce_p	qingyin_fanchang	stuntimereduce_p	qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		qingyin_fanchang		"§éc m«n T©m ph¸p, tù t¨ng c¸c tr¹ng t¸i miÔn dÞch."	
Kh¸ng Long H÷u Hèi 	C«ng kÝch néi c«ng 	283	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_07.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	2	0	400	0	0	0	4	6	117	-1	1	1	11	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	1	10	0	0		0					0	0	0	-1	1	\script\skill\tianren\ÍÆÉ½Ìîº£.lua	firedamage_v		skill_cost_v																																							"Thiªn NhÉn  trung cÊp chiªu thøc, t¨ng hiÖu qu¶ Ho¶ s¸t "	
Hoa hång 1 	C«ng kÝch néi c«ng 	284	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\Óê´òÀæ»¨.wav	0	0	0	2	0	300	15	3	5	2	6	118	-1	4	1	11	1	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 2	C«ng kÝch néi c«ng 	285	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	8	2	6	119	-1	5	1	11	1	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	1	286	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 3	C«ng kÝch néi c«ng 	286	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	22	2	6	120	-1	6	1	11	1	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	1	287	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 4	C«ng kÝch néi c«ng 	287	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	12	3	6	121	-1	7	1	11	1	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	1	288	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 5	C«ng kÝch néi c«ng 	288	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	3	10	3	6	122	-1	5	1	11	1	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	1	289	45	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa hång 6	C«ng kÝch néi c«ng 	289	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_21.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	0	2	0	300	15	5	5	3	6	123	-1	5	1	11	1	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	290	30	20	-2	1	0	0	1	0	0	0				0	0	0	-1	1	\script\skill\special\rose.lua	skill_eventskilllevel																																									"Thóy Yªn trung cÊp chiªu thøc, t¨ng hiÖu qu¶ s¸t th­¬ng."	
Hoa Hång trªn mÆt ®Êt 	C«ng kÝch néi c«ng 	290	2	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_wa_42.spr	\spr\skill\À¥ÂØ\kl_16_Ä§·¨Ê©·Å.spr			0	0	0	2	0	470	0	0	0	5	6	124	-1	1	1	11	0	0	5	2	0	0	5	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	1	0	0	1		0					0	0	0	-1	1	\script\skill\wudang\°þ¼°¶ø¸´.lua																																										"Vâ §ang TuyÖt ®Ønh vâ c«ng, s¸t th­¬ng trªn diÖn réng."	
H¹nh VËn Tinh 	Vßng trßn  håi phôc thuéc tÝnh	291	53	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr				51	2	1	2	0	0	0	0	0	2	7	292	-1	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\special\xingyun-xing.lua	allres_p																																									t¨ng may m¾n trong thêi gian ng¾n 	
H¹nh VËn Tinh		292		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_em_22.spr		0	0	51	2	0	2	0	180	0	0	0	2	3	125	-1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\special\xingyun-xing.lua	allres_p																																										
Tr¹ng th¸i miÔn dÞch	Hç trî bÞ ®éng	293	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\¹÷·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\mianyi.lua	fasthitrecover_v		fatallystrikeres_p		freezetimereduce_p		poisontimereduce_p		stuntimereduce_p																																	T¨ng hiÖu qu¶ sö dông c«n.	
MiÔn dÞch b¨ng	Hç trî bÞ ®éng	294	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\¹÷·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\mianyi.lua	fasthitrecover_v		fatallystrikeres_p		freezetimereduce_p		poisontimereduce_p		stuntimereduce_p																																	T¨ng hiÖu qu¶ sö dông c«n.	
MiÔn dÞch ®éc	Hç trî bÞ ®éng	295	11	3	\spr\Ui\¼¼ÄÜÍ¼±ê\¹÷·¨.spr				0	0	0	3	0	0	0	0	0	1	7	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\npc\mianyi.lua	fasthitrecover_v		fatallystrikeres_p		freezetimereduce_p		poisontimereduce_p		stuntimereduce_p																																	T¨ng hiÖu qu¶ sö dông c«n.	
